N;P;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI Time;N#C;Clustering Time
-10;5;8.58655582873599;20.148662999174512;0.08075270893290196;136.8600760265754;27.95233926464723;26.211509466171265;6.1918864250183105;229;1.677306890487671
-10;6;9.840746567207189;22.088773041999957;0.08570880934885819;159.87070133704924;29.729081385291355;18.69404649734497;7.8789427280426025;351;2.2576589584350586
-10;7;11.255846525250782;24.549062970640467;0.07000000000000739;140.73368564664963;30.392088915751525;13.562986850738525;11.420727252960205;615;3.6207163333892822
-10;8;19.707659627667613;33.0279767642458;0.0899999999999892;153.86135992590863;33.55109775748437;9.032474517822266;18.302797079086304;1130;5.863580226898193
-10;9;28.1769716257798;39.0115697298773;0.14441952776547096;154.5804011509868;32.98666143795975;5.6158974170684814;28.407304286956787;1869;9.22886347770691
-11;0;0.9203309187460734;2.0698147208366473;0.0379999999999967;52.770937619962766;3.2545507451196634;126.16647911071777;3.450037717819214;26;0.7201199531555176
-11;1;2.607544517357277;4.869942969928522;0.0379999999999967;141.779924498534;9.934230103823124;95.03280234336853;3.6179354190826416;37;0.7777178287506104
-11;2;2.664928516864953;4.8998129000876425;0.0379999999999967;133.09736246958462;9.88152199253046;77.76765441894531;3.757391929626465;47;0.8569498062133789
-11;3;4.992503179768641;10.261420999732753;0.08499999999999375;136.7056564863356;17.92954143677402;67.26706504821777;4.0407774448394775;67;0.9658856391906738
-11;4;6.005005328890218;12.395236470013609;0.07000000000000739;150.40239871092484;21.450971343115064;51.448750734329224;4.505656003952026;98;1.114579439163208
-11;5;7.000862018351738;16.700464975727808;0.08075270893290196;136.8600760265754;26.214003292024113;34.86512613296509;5.9682817459106445;178;1.5711383819580078
-11;6;8.749659936248948;20.473889793517042;0.08570880934885819;158.30964955112498;29.250197407059936;22.124897718429565;7.381808519363403;267;2.0504534244537354
-11;7;9.872764354526046;22.690608014480972;0.07000000000000739;140.08652856631147;29.744307544326283;17.2203528881073;9.679505109786987;409;2.824798107147217
-11;8;14.96883428995056;28.41493583877147;0.0799999999999983;153.86135992590863;32.19833740607423;12.375909566879272;13.965709447860718;690;4.259965896606445
-11;9;20.00068888813583;32.00143242631838;0.14441952776547096;154.5804011509868;32.21863582387516;8.60431694984436;21.95857524871826;1198;6.921031951904297
-11;10;32.132722293637066;41.147241841962355;0.181333946077397;140.39956515958303;31.919478813960442;5.161724328994751;35.15745997428894;2055;11.395310640335083
