N;Ts;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI Time;N#C;CL Time
2;-7;6.058096153083095;6.784985233582191;0.1732887763243784;26.43020836207123;4.370897302253295;4.930488586425781;0.2700917720794678;178;1.1243212223052979
3;-7;6.054313524256899;6.765804093273215;0.1732887763243784;29.28880381647568;4.398220190344952;3.9078369140625;0.27300477027893066;178;1.1228351593017578
4;-7;5.957476730965902;6.725318573053886;0.1732887763243784;29.28880381647568;4.397305642105856;3.0767033100128174;0.27811288833618164;178;1.133777379989624
2;-8;5.902586636382385;6.573335332155579;0.1732887763243784;26.1202034639855;4.201239585828298;4.975900650024414;0.2699000835418701;178;1.2994990348815918
3;-8;5.904407590944247;6.575830109962596;0.1732887763243784;29.28880381647568;4.230929120805459;3.942575454711914;0.27410292625427246;178;1.298525333404541
4;-8;5.772610241476568;6.458897218418387;0.1732887763243784;29.28880381647568;4.184528155414036;3.143998861312866;0.2784004211425781;178;1.3034017086029053
2;-9;5.7605146471474145;6.412945750403649;0.1732887763243784;26.1202034639855;4.083469119566917;4.998810291290283;0.26870107650756836;178;1.4867868423461914
3;-9;5.718568789478712;6.407837950152642;0.1732887763243784;26.1202034639855;4.07197905094072;3.9968810081481934;0.272876501083374;178;1.4845197200775146
4;-9;5.612931497889499;6.347634615520696;0.1732887763243784;26.1202034639855;4.013545275389478;3.1989288330078125;0.28329920768737793;178;1.4747238159179688
2;-10;5.7760280470233285;6.308411850023774;0.1732887763243784;26.1202034639855;3.9796540229230444;5.055059909820557;0.2704963684082031;178;1.6835384368896484
3;-10;5.706681369237274;6.298357157851351;0.1732887763243784;26.1202034639855;3.979444710259755;4.055734634399414;0.27667880058288574;178;1.6820068359375
4;-10;5.6142701217522415;6.266075702268438;0.1732887763243784;26.1202034639855;3.966287360315038;3.2524349689483643;0.28174543380737305;178;1.670501708984375
5;-1;8.109408116502706;9.67482307364373;0.15723301886763819;56.743785246161536;7.116067031065277;2.2602484226226807;0.2978076934814453;178;0.294750452041626
6;-1;8.217787354269989;9.705298074136671;0.1732887763243784;56.743785246161536;7.009035344728109;1.753866195678711;0.28837084770202637;178;0.25530552864074707
7;-1;8.109408116502706;9.59106088738962;0.1732887763243784;56.743785246161536;7.086265676930991;1.5285789966583252;0.2921133041381836;178;0.24392986297607422
8;-1;8.205335398385618;9.512441197772915;0.18027756377320575;56.743785246161536;6.703689248329737;1.31227707862854;0.29886841773986816;178;0.24454617500305176
9;-1;7.968374991176056;9.37042416092567;0.18027756377320575;54.67702926275347;6.457480552486114;1.1650595664978027;0.30152249336242676;178;0.24174714088439941
5;-2;7.209195516838202;8.527497253233076;0.07071067811866079;56.32476399473414;6.326477886389186;2.318754196166992;0.28406691551208496;178;0.355663537979126
6;-2;7.355680050138128;8.602241129441643;0.07071067811866079;56.32476399473414;6.308410542027903;1.8539562225341797;0.28867316246032715;178;0.3703272342681885
7;-2;7.400091591493994;8.445922325549589;0.07071067811866079;56.32476399473414;5.922596900606976;1.6303560733795166;0.2939908504486084;178;0.35853099822998047
8;-2;7.459390055493803;8.449970127706855;0.07071067811866079;56.32476399473414;5.779458364231809;1.433192491531372;0.2988090515136719;178;0.3601207733154297
9;-2;7.330861409138768;8.241631429958966;0.07071067811866079;54.67702926275347;5.476072973706687;1.3045642375946045;0.30478572845458984;178;0.3588523864746094
5;-3;6.909389557877015;7.8441116077510395;0.1732887763243784;42.827170570357545;5.382599313460858;2.3890256881713867;0.28301024436950684;178;0.48232221603393555
6;-3;6.884259509925525;7.847995162492719;0.1732887763243784;46.67745708583534;5.4202480152432715;1.9371986389160156;0.2864716053009033;178;0.48232221603393555
7;-3;6.8610151581234575;7.712113715034689;0.1732887763243784;47.138942689552195;5.258900518738595;1.7410378456115723;0.29183030128479004;178;0.4865269660949707
8;-3;6.868223933448879;7.69288887398262;0.2694541936953252;42.827170570357545;5.039730880191431;1.5547959804534912;0.2985703945159912;178;0.4809248447418213
9;-3;6.84518363979375;7.566749499241799;0.2694541936953252;31.91461396532244;4.855291951417713;1.4391705989837646;0.30344557762145996;178;0.48609066009521484
5;-4;6.759622770539778;7.433259829714589;0.1732887763243784;44.6900609783652;5.0007476163204965;2.457878828048706;0.28278374671936035;178;0.6581628322601318
6;-4;6.84518363979375;7.54327973336719;0.1732887763243784;44.6900609783652;5.160260962022479;2.025446653366089;0.2889282703399658;178;0.6176774501800537
7;-4;6.625896165802778;7.430110060352071;0.1732887763243784;47.138942689552195;5.224153572897724;1.843768835067749;0.29305148124694824;178;0.6189377307891846
8;-4;6.625896165802778;7.376085539432561;0.26925824035671464;44.6900609783652;4.971570297062559;1.6557011604309082;0.3002958297729492;178;0.6280570030212402
9;-4;6.548704375676142;7.228187565758105;0.26925824035671464;37.97000828285399;4.720846013995731;1.5649445056915283;0.30521488189697266;178;0.6119532585144043
5;-5;6.362585952268149;7.044182103593832;0.1732887763243784;37.462076344785;4.704649405622069;2.53151535987854;0.2852494716644287;178;0.7542855739593506
6;-5;6.493265742290234;7.091278548751149;0.1732887763243784;38.85595192502688;4.771396787013362;2.113687753677368;0.2886502742767334;178;0.7521803379058838
7;-5;6.328506932918694;6.960984305811339;0.1732887763243784;45.43636791161899;4.800505891221089;1.940462589263916;0.29446935653686523;178;0.7575373649597168
8;-5;6.327956147129987;6.913554919582939;0.2504241402101771;37.462076344785;4.612558855898114;1.761970043182373;0.30144357681274414;178;0.753483772277832
9;-5;6.275709441967483;6.822322724739881;0.25000000000001077;30.961876562153012;4.401149412896616;1.6897811889648438;0.30646681785583496;178;0.7553741931915283
5;-6;6.212288547709287;6.811842251833412;0.1732887763243784;37.462076344785;4.523049073942219;2.6007633209228516;0.2839665412902832;178;0.9052815437316895
6;-6;6.213737120284393;6.840649248777351;0.1732887763243784;37.462076344785;4.630953446170751;2.1923084259033203;0.2885854244232178;178;0.9029378890991211
7;-6;6.106146821032069;6.756799723129574;0.1732887763243784;46.56099256888753;4.786030694387582;2.031768560409546;0.29554033279418945;178;0.9010796546936035
8;-6;6.10266335299598;6.704494386683015;0.18027756377319157;37.462076344785;4.587318463505316;1.8727116584777832;0.30141711235046387;178;0.9045135974884033
9;-6;6.015396911260308;6.600100226906388;0.18027756377319157;31.664476156254345;4.31910374006127;1.8091518878936768;0.3077378273010254;178;0.9071614742279053
5;-7;5.9980437644285205;6.5713108733233225;0.1732887763243784;29.28880381647568;4.269840914120539;2.6722426414489746;0.28449487686157227;178;1.0596086978912354
6;-7;5.957476730965902;6.622422963265964;0.1732887763243784;31.664476156254345;4.343052064140235;2.286830186843872;0.2888200283050537;178;1.0668859481811523
7;-7;5.8975867098330985;6.554858428968154;0.1732887763243784;46.56099256888753;4.45950779968103;2.134016752243042;0.29595375061035156;178;1.0602960586547852
8;-7;5.89266739261602;6.514394821319001;0.1732887763243784;31.664476156254345;4.279456268974123;1.974614143371582;0.30211472511291504;178;1.0664644241333008
9;-7;5.948715176405729;6.476425459348972;0.1732887763243784;31.664476156254345;4.118894852087389;1.9273476600646973;0.3076920509338379;178;1.0620105266571045
5;-8;5.835451996203889;6.3753276268491055;0.1732887763243784;29.28880381647568;4.066576253729044;2.745102643966675;0.2855517864227295;178;1.2301301956176758
6;-8;5.982056502575015;6.478120929445331;0.1732887763243784;29.28880381647568;4.128922222950693;2.377124547958374;0.29024815559387207;178;1.2277333736419678
7;-8;5.9036005962463225;6.430908946302001;0.1732887763243784;46.56099256888753;4.264006372075036;2.228003978729248;0.2953345775604248;178;1.2622981071472168
8;-8;5.811757823584878;6.39160761460697;0.1732887763243784;30.807337259166033;4.084695541159455;2.082915782928467;0.303816556930542;178;1.2418158054351807
9;-8;5.792451985126849;6.353633363001414;0.1732887763243784;30.807337259166033;3.964956283923834;2.057889699935913;0.3080484867095947;178;1.225795030593872
