N;Ts;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI Time;N#C;CL Time
4;-5;2.3078453930921894;2.5167765973145153;0.16255492181818454;8.597261798181819;1.4224649039530084;8.427682399749756;0.17451882362365723;35;298.8213224411011
5;-5;2.2523188577608875;2.4941448011661413;0.17176713358816975;8.597261798181819;1.4263078321312712;11.408671140670776;0.21101617813110352;35;299.4031171798706
4;-6;2.2636291617106643;2.4851781554413126;0.17176713358816975;8.597261798181819;1.4007244923516278;9.601937055587769;0.19267034530639648;35;405.91859698295593
5;-6;2.238893322874571;2.471313588533295;0.17176713358816975;8.597261798181819;1.4073928801524727;12.890410423278809;0.23992013931274414;35;406.2903892993927
4;-7;2.2259429012397347;2.4681244398766733;0.17176713358816975;7.800857468562827;1.389446726981569;10.592988729476929;0.2106778621673584;35;529.1211681365967
5;-7;2.219412282301824;2.45744620995614;0.17176713358816975;7.800857468562827;1.3959446534863085;14.086581707000732;0.2553434371948242;35;527.2763781547546
4;-8;2.2167104912224787;2.454354899139716;0.17176713358816975;7.800857468562827;1.3929273297589542;11.455074310302734;0.22612786293029785;35;663.8502268791199
5;-8;2.2167104912224787;2.4504779524285385;0.17176713358816975;7.800857468562827;1.395971167066101;15.24908709526062;0.2745931148529053;35;662.7548503875732
1;-9;2.264606327993503;2.4882850500781553;0.13565891797259824;7.800857468562828;1.4089300526153596;6.178892612457275;0.10007786750793457;35;821.3500425815582
2;-9;2.264606327993503;2.4739617831328786;0.16255492181818454;7.800857468562827;1.3916709806958767;7.9679200649261475;0.15012621879577637;35;818.809011220932
3;-9;2.204965279962853;2.4495701447294795;0.17176713358816975;7.800857468562827;1.3871904303987117;10.378234148025513;0.1911938190460205;35;818.7783782482147
4;-9;2.19895325883876;2.4478330646807707;0.17176713358816975;7.800857468562827;1.3886601255799926;11.355811595916748;0.23890352249145508;35;811.2515983581543
5;-9;2.204965279962853;2.443021815882238;0.17176713358816975;7.800857468562827;1.3878477682763535;14.894790887832642;0.2796051502227783;35;811.8866729736328
6;-1;2.275148588856921;2.547172815568341;0.03541272636363857;7.8900727090909095;1.4531640665634533;4.925532341003418;0.1141197681427002;35;30.15274691581726
7;-1;2.2215246375151376;2.5291865250862253;0.1625549209090913;7.8900727090909095;1.4454493246328393;5.717112302780151;0.1254417896270752;35;30.156230688095093
6;-2;2.2375642805772142;2.526866706030272;0.05549636527272739;7.890072709090909;1.4369226811089508;7.075228691101074;0.14688563346862793;35;72.51862215995789
7;-2;2.2247269110598857;2.505726799304396;0.05549636527272739;8.022261091866863;1.4295907499212568;8.122936725616455;0.16534113883972168;35;72.33597469329834
6;-3;2.2882909912263174;2.5240929337607296;0.17176713358816975;7.890072709090909;1.4297665574306675;8.99526047706604;0.1819162368774414;35;131.9250774383545
7;-3;2.2858901074060904;2.506333344134935;0.05549636454545137;7.890072709090909;1.4276470852329055;10.152977705001831;0.20412993431091309;35;131.80470204353333
6;-4;2.261775739672882;2.50859884472184;0.17176713358816975;8.597261798181819;1.42997488720425;10.672543287277222;0.2145524024963379;35;207.83480167388916
7;-4;2.237564279767944;2.499806128383708;0.17176713358816975;8.597261798181819;1.4245210464761564;12.112246990203857;0.24330377578735352;35;207.38832831382751
6;-5;2.235726659857881;2.485594443506565;0.17176713358816975;7.800857468562828;1.4203640860881248;12.346137285232544;0.24277019500732422;35;299.1388683319092
7;-5;2.2181962919445546;2.4774267999562305;0.17176713358816975;7.800857468562828;1.4130847521356946;13.8706636428833;0.2751636505126953;35;299.13848543167114
6;-6;2.219412282301824;2.463449846945925;0.17176713358816975;7.800857468562827;1.3956238317481822;13.793845653533936;0.2697758674621582;35;405.79066038131714
7;-6;2.2167104912224787;2.458806344387989;0.17176713358816975;7.800857468562827;1.3929664530719228;15.475635766983032;0.3054513931274414;35;406.15769958496094
6;-7;2.2109613738172182;2.4536435038036903;0.17176713358816975;7.800857468562827;1.39418419413869;14.917774200439453;0.2936406135559082;35;527.0152134895325
7;-7;2.2109613738172182;2.447375325080682;0.17176713358816975;7.800857468562827;1.3885443564695388;16.70047116279602;0.32849621772766113;35;528.5810449123383
6;-8;2.2109613738172182;2.4489739442519287;0.17176713358816975;7.800857468562827;1.3938723213219193;16.02460527420044;0.309847354888916;35;666.7830541133881
7;-8;2.2109613738172182;2.4465235886029557;0.17176713358816975;7.800857468562827;1.3906288723958082;18.230396509170532;0.36339616775512695;35;665.758486032486
6;-9;2.204965279962853;2.4433857279590177;0.17176713358816975;7.800857468562827;1.3876950928640592;16.8301944732666;0.3286452293395996;35;814.6619129180908
7;-9;2.204965279962853;2.443422434721498;0.17176713358816975;7.800857468562827;1.3876378969358758;18.234092950820923;0.36776256561279297;35;816.3827478885651
8;-1;2.265898678274935;2.518562493721959;2.7272726299544585e-09;7.8900727090909095;1.4401828885239032;6.036761045455933;0.14264488220214844;35;30.108558893203735
8;-2;2.2349536052209205;2.505534199846512;0.05549636454545137;7.890072709090909;1.4222279855870583;8.649065732955933;0.1795182228088379;35;72.11335253715515
8;-3;2.2783201145007177;2.495844530607966;0.05549636454545137;7.890072709090909;1.4234566835483655;10.709720611572266;0.2184278964996338;35;131.58367562294006
8;-4;2.2375642805930016;2.485067269010342;0.17176713358816975;8.597261798181819;1.421062089717506;12.674853324890137;0.2586092948913574;35;206.96433806419373
