N;P;Median;Average;Minimum;Maximum;Standard Deviation;KNN Time;CI TIme;N#CL;Clustering Time
-7;3;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;22.5422146320343;0.15879130363464355;3;0.05068540573120117
-7;4;2.2180212259292604;2.4957241862501474;0.0;9.132789119043542;1.8218362351757718;20.572948694229126;0.171142578125;4;0.0566716194152832
-7;5;2.2180212259292604;2.524690078504817;0.0;10.486282706469437;1.8621525108100245;14.739142894744873;0.16589069366455078;11;0.09148788452148438
-7;6;2.842569260369921;2.8323824815781498;0.0;11.069047709828915;2.012519586874973;1.9454801082611084;0.11536622047424316;68;0.3551487922668457
-8;0;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;27.230227947235107;0.15314674377441406;2;0.0777432918548584
-8;1;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;27.229886531829834;0.15301084518432617;2;0.046280860900878906
-8;2;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;27.26132035255432;0.1544504165649414;2;0.07781100273132324
-8;3;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;27.266089916229248;0.15403389930725098;2;0.04639840126037598
-8;4;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;27.356465578079224;0.15477991104125977;2;0.0808560848236084
-8;5;2.2180212259292604;2.4997596542914784;0.0;9.132789119043542;1.821953238158967;18.32950186729431;0.1254289150238037;3;0.05312085151672363
-8;6;2.2180212259292604;2.504267063831742;0.0;9.132789119043542;1.820564953461194;18.02236771583557;0.15909671783447266;9;0.08825802803039551
-8;7;2.6296656220772787;2.791883508738796;0.0;15.25819997787476;2.0341756855295166;2.9160828590393066;0.11504983901977539;53;0.3520369529724121
-9;0;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;27.293341875076294;0.15493273735046387;2;0.0479428768157959
-9;1;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;27.313631296157837;0.15684866905212402;2;0.047971248626708984
-9;2;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;27.33942222595215;0.15661120414733887;2;0.08324623107910156
-9;3;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;27.22961115837097;0.15407609939575195;2;0.04536032676696777
-9;4;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;27.319730520248413;0.15604162216186523;2;0.04484701156616211
-9;5;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;27.276428937911987;0.15412545204162598;2;0.04386258125305176
-9;6;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;27.211726188659668;0.15501022338867188;2;0.07477521896362305
-9;7;2.2238356279312486;2.501332325047319;0.0;9.132789119043542;1.8212090144024768;20.069887399673462;0.14139318466186523;5;0.06364631652832031
-9;8;2.499893749726908;2.927233471185906;0.0;11.81166664759318;2.060656391476117;4.767974376678467;0.10689806938171387;30;0.2431793212890625
